Y,X,PC_4,Year,Gemeente code,Provincie code,Provincie name,Gemeente name
51.0402911052,5.8630462671,6118,2020,1711,31,Limburg,Echt-Susteren
51.0442177364,5.81343170348,6122,2020,1883,31,Limburg,Sittard-Geleen
51.0013079772,5.88905260547,6137,2020,1883,31,Limburg,Sittard-Geleen
51.0129852244,5.81619492439,6143,2020,1883,31,Limburg,Sittard-Geleen
50.9370278318,5.83948422528,6176,2020,888,31,Limburg,Beek
50.7798381612,5.7164316727,6245,2020,1903,31,Limburg,Eijsden-Margraten
50.9396213519,5.88105857877,6365,2020,1954,31,Limburg,Beekdaelen
50.9793306874,5.95104230811,6454,2020,1954,31,Limburg,Beekdaelen
50.9705080704,5.93362611425,6456,2020,1954,31,Limburg,Beekdaelen
51.8401633034,5.85604193438,6512,2020,268,25,Gelderland,Nijmegen
51.8145003199,5.71043852714,6601,2020,296,25,Gelderland,Wijchen
51.8931796351,6.00190641847,6686,2020,1705,25,Gelderland,Lingewaard
51.8778041817,5.96446423853,6691,2020,1705,25,Gelderland,Lingewaard
51.9917990117,5.69924949956,6705,2020,289,25,Gelderland,Wageningen
52.0427289329,5.58586674162,6745,2020,228,25,Gelderland,Ede
51.9573913557,6.12230905414,6941,2020,1955,25,Gelderland,Montferland
52.0661178232,6.11063738147,6956,2020,275,25,Gelderland,Rheden
52.0020771778,6.12847399974,6983,2020,221,25,Gelderland,Doesburg
51.989969386,6.19476064677,6998,2020,1876,25,Gelderland,Bronckhorst
51.9123793585,6.32701958425,7075,2020,1509,25,Gelderland,Oude IJsselstreek
52.1541622562,6.65042295823,7165,2020,1859,25,Gelderland,Berkelland
52.1024417032,6.34140557606,7251,2020,1876,25,Gelderland,Bronckhorst
52.1087935857,6.57107955519,7273,2020,1859,25,Gelderland,Berkelland
52.1408183239,6.51827937209,7274,2020,1859,25,Gelderland,Berkelland
52.1253015596,5.90199189539,7351,2020,200,25,Gelderland,Apeldoorn
52.3025105007,6.85623387135,7561,2020,1774,23,Overijssel,Dinkelland
52.3719877832,6.69526835072,7603,2020,141,23,Overijssel,Almelo
52.3885326256,6.64320601489,7610,2020,141,23,Overijssel,Almelo
52.4099828862,6.90027830015,7631,2020,1774,23,Overijssel,Dinkelland
52.4209906144,6.87167737808,7638,2020,1774,23,Overijssel,Dinkelland
52.4502507371,6.7829439942,7664,2020,183,23,Overijssel,Tubbergen
52.4718537316,6.6940347277,7675,2020,1700,23,Overijssel,Twenterand
52.5112785687,6.25674828793,7721,2020,148,23,Overijssel,Dalfsen
52.7836437197,6.89637088809,7811,2020,114,22,Drenthe,Emmen
52.795611769,6.93803785441,7823,2020,114,22,Drenthe,Emmen
52.7152178526,6.51109348675,7905,2020,118,22,Drenthe,Hoogeveen
52.6530499017,6.19887659132,7951,2020,180,23,Overijssel,Staphorst
52.6714735539,6.31565716106,7957,2020,1690,22,Drenthe,De Wolden
52.8624350877,6.26344729515,7983,2020,1701,22,Drenthe,Westerveld
52.4945570202,6.08587450212,8017,2020,193,23,Overijssel,Zwolle
52.4353530588,5.95843270922,8095,2020,269,25,Gelderland,Oldebroek
